phi2_deg,phi3_deg,F_mean,F_skew,liftoff,F_max,F_min,peak_ratio
100.000000,220.000000,6.376500,0.050142,0.000000,11.235129,1.617578,1.020952
100.000000,222.000000,6.376500,0.034355,0.000000,11.009129,1.892091,1.033052
100.000000,224.000000,6.376499,0.007409,0.000000,10.783528,2.163967,1.046171
100.000000,226.000000,6.376499,-0.029971,0.000000,10.559996,2.318081,1.030819
100.000000,228.000000,6.376500,-0.075923,0.000000,10.340655,2.094293,0.925727
100.000000,230.000000,6.376500,-0.127528,0.000000,10.128187,1.869956,0.832498
100.000000,232.000000,6.376500,-0.181133,0.000000,10.133637,1.645921,0.794223
100.000000,234.000000,6.376500,-0.232826,0.000000,10.329565,1.423036,0.798040
100.000000,236.000000,6.376500,-0.278979,0.000000,10.532446,1.201958,0.803152
100.000000,238.000000,6.376500,-0.316696,0.000000,10.741213,0.983300,0.809299
100.000000,240.000000,6.376500,-0.344085,0.000000,10.954790,0.767689,0.816268
100.000000,242.000000,6.376499,-0.360321,0.000000,11.172227,0.555567,0.823876
100.000000,244.000000,6.376499,-0.365520,0.000000,11.392601,0.347448,0.831988
100.000000,246.000000,6.376500,-0.360513,0.000000,11.615155,0.143727,0.840502
100.000000,248.000000,6.376500,-0.345129,2.200000,11.840897,0.000000,0.856959
100.000000,250.000000,6.376545,-0.311480,5.800000,12.076612,0.000000,0.893925
100.000000,252.000000,6.376428,-0.263560,7.600000,12.321404,0.000000,0.932315
100.000000,254.000000,6.376411,-0.205439,8.950000,12.574784,0.000000,0.972051
100.000000,256.000000,6.376604,-0.140535,10.050000,12.839255,0.000000,1.013527
100.000000,258.000000,6.376619,-0.072275,11.000000,13.115965,0.000000,1.056922
100.000000,260.000000,6.376628,-0.002902,11.800000,13.403462,0.000000,1.102009
102.000000,220.000000,6.376500,0.031775,0.000000,11.022230,1.673311,0.987783
102.000000,222.000000,6.376500,0.028188,0.000000,10.776434,1.964790,0.997331
102.000000,224.000000,6.376500,0.011415,0.000000,10.529890,2.253189,1.007295
102.000000,226.000000,6.376500,-0.019150,0.000000,10.284194,2.537394,1.017866
102.000000,228.000000,6.376500,-0.062432,0.000000,10.041412,2.637326,0.980139
102.000000,230.000000,6.376500,-0.115466,0.000000,9.804429,2.402232,0.862531
102.000000,232.000000,6.376500,-0.173643,0.000000,9.780618,2.165817,0.808448
102.000000,234.000000,6.376500,-0.231444,0.000000,9.977569,1.929149,0.809711
102.000000,236.000000,6.376500,-0.283448,0.000000,10.183911,1.693163,0.812970
102.000000,238.000000,6.376500,-0.325277,0.000000,10.398234,1.458659,0.817784
102.000000,240.000000,6.376500,-0.354192,0.000000,10.619243,1.226376,0.823814
102.000000,242.000000,6.376500,-0.369217,0.000000,10.845758,0.996902,0.830779
102.000000,244.000000,6.376500,-0.370879,0.000000,11.076598,0.770858,0.838458
102.000000,246.000000,6.376500,-0.360728,0.000000,11.311265,0.548732,0.846767
102.000000,248.000000,6.376500,-0.340848,0.000000,11.551470,0.330997,0.856003
102.000000,250.000000,6.376500,-0.313452,0.000000,11.797481,0.118063,0.866188
102.000000,252.000000,6.376500,-0.276968,2.800000,12.049225,0.000000,0.889630
102.000000,254.000000,6.376553,-0.224004,6.200000,12.316663,0.000000,0.931571
102.000000,256.000000,6.376576,-0.160292,7.950000,12.595176,0.000000,0.975249
102.000000,258.000000,6.376596,-0.091505,9.250000,12.886437,0.000000,1.020926
102.000000,260.000000,6.376609,-0.021066,10.350000,13.189354,0.000000,1.068432
104.000000,220.000000,6.376500,-0.006041,0.000000,10.856733,1.701999,0.958441
104.000000,222.000000,6.376500,0.005217,0.000000,10.591998,2.011889,0.965836
104.000000,224.000000,6.376500,0.003161,0.000000,10.325055,2.318446,0.973017
104.000000,226.000000,6.376500,-0.015084,0.000000,10.057170,2.620452,0.979932
104.000000,228.000000,6.376500,-0.050559,0.000000,9.790037,2.916540,0.986583
104.000000,230.000000,6.376500,-0.101464,0.000000,9.526103,2.939242,0.916312
104.000000,232.000000,6.376500,-0.162817,0.000000,9.428711,2.690342,0.828020
104.000000,234.000000,6.376500,-0.227196,0.000000,9.624553,2.439644,0.825037
104.000000,236.000000,6.376500,-0.286463,0.000000,9.832632,2.188423,0.825231
104.000000,238.000000,6.376500,-0.333737,0.000000,10.051194,1.937692,0.827856
104.000000,240.000000,6.376500,-0.364784,0.000000,10.278595,1.688386,0.832338
104.000000,242.000000,6.376500,-0.378359,0.000000,10.513311,1.441276,0.838222
104.000000,244.000000,6.376500,-0.375656,0.000000,10.753986,1.197041,0.845163
104.000000,246.000000,6.376500,-0.359347,0.000000,11.000608,0.956300,0.853125
104.000000,248.000000,6.376500,-0.332661,0.000000,11.254787,0.719582,0.862358
104.000000,250.000000,6.376500,-0.298728,0.000000,11.516389,0.487410,0.872781
104.000000,252.000000,6.376500,-0.260230,0.000000,11.785116,0.260149,0.884288
104.000000,254.000000,6.376500,-0.219273,0.000000,12.060706,0.038279,0.896814
104.000000,256.000000,6.376469,-0.167654,4.800000,12.347131,0.000000,0.936349
104.000000,258.000000,6.376566,-0.103670,7.050000,12.652409,0.000000,0.984225
104.000000,260.000000,6.376588,-0.035070,8.600000,12.970657,0.000000,1.034134
106.000000,220.000000,6.376500,-0.066053,0.000000,10.738275,1.700953,0.932891
106.000000,222.000000,6.376500,-0.040602,0.000000,10.457594,2.030432,0.939031
106.000000,224.000000,6.376500,-0.025277,0.000000,10.172473,2.356600,0.944295
106.000000,226.000000,6.376500,-0.025475,0.000000,9.884468,2.678098,0.948509
106.000000,228.000000,6.376500,-0.045794,0.000000,9.594895,2.993472,0.951336
106.000000,230.000000,6.376500,-0.087861,0.000000,9.305362,3.300945,0.952304
106.000000,232.000000,6.376500,-0.148313,0.000000,9.080081,3.218875,0.856207
106.000000,234.000000,6.376500,-0.218425,0.000000,9.272102,2.953793,0.845998
106.000000,236.000000,6.376500,-0.286317,0.000000,9.479821,2.686911,0.841102
106.000000,238.000000,6.376500,-0.340866,0.000000,9.700953,2.419556,0.840157
106.000000,240.000000,6.376500,-0.375039,0.000000,9.933480,2.152855,0.842159
106.000000,242.000000,6.376500,-0.386987,0.000000,10.175453,1.887772,0.846332
106.000000,244.000000,6.376500,-0.378967,0.000000,10.425188,1.625133,0.852110
106.000000,246.000000,6.376500,-0.355391,0.000000,10.683565,1.365589,0.859537
106.000000,248.000000,6.376500,-0.321101,0.000000,10.951473,1.109811,0.868662
106.000000,250.000000,6.376500,-0.280357,0.000000,11.228538,0.858291,0.879278
106.000000,252.000000,6.376500,-0.236444,0.000000,11.514293,0.611600,0.891220
106.000000,254.000000,6.376500,-0.191672,0.000000,11.808168,0.370127,0.904318
106.000000,256.000000,6.376500,-0.147538,0.000000,12.109498,0.134306,0.918427
106.000000,258.000000,6.376501,-0.100614,2.850000,12.418709,0.000000,0.947575
106.000000,260.000000,6.376556,-0.041375,6.350000,12.749529,0.000000,0.999456
108.000000,220.000000,6.376500,-0.144673,0.000000,10.664870,1.668002,0.910772
108.000000,222.000000,6.376500,-0.110800,0.000000,10.370506,2.017829,0.916336
108.000000,224.000000,6.376500,-0.080561,0.000000,10.071112,2.364619,0.920918
108.000000,226.000000,6.376500,-0.060267,0.000000,9.767081,2.707025,0.923996
108.000000,228.000000,6.376500,-0.057948,0.000000,9.458995,3.043400,0.924813
108.000000,230.000000,6.376500,-0.080956,0.000000,9.148353,3.371829,0.922515
108.000000,232.000000,6.376500,-0.131605,0.000000,8.836435,3.690049,0.915682
108.000000,234.000000,6.376500,-0.203103,0.000000,8.922240,3.470787,0.876115
108.000000,236.000000,6.376500,-0.279910,0.000000,9.126961,3.187697,0.862537
108.000000,238.000000,6.376500,-0.344057,0.000000,9.348675,2.903192,0.855719
108.000000,240.000000,6.376500,-0.383054,0.000000,9.584740,2.618710,0.853757
108.000000,242.000000,6.376500,-0.393500,0.000000,9.832778,2.335347,0.855270
108.000000,244.000000,6.376500,-0.379258,0.000000,10.090908,2.054075,0.859334
108.000000,246.000000,6.376500,-0.347403,0.000000,10.360503,1.775628,0.865924
108.000000,248.000000,6.376500,-0.305004,0.000000,10.641868,1.500749,0.874813
108.000000,250.000000,6.376500,-0.257620,0.000000,10.934338,1.229979,0.885615
108.000000,252.000000,6.376500,-0.209027,0.000000,11.237104,0.963920,0.898020
108.000000,254.000000,6.376500,-0.161516,0.000000,11.549339,0.703019,0.911757
108.000000,256.000000,6.376500,-0.116321,0.000000,11.870062,0.447703,0.926590
108.000000,258.000000,6.376500,-0.073992,0.000000,12.198284,0.198392,0.942325
108.000000,260.000000,6.376500,-0.033353,1.900000,12.533495,0.000000,0.965576
110.000000,220.000000,6.376500,-0.229987,0.000000,10.634045,1.601561,0.891644
110.000000,222.000000,6.376500,-0.197520,0.000000,10.328004,1.971950,0.897141
110.000000,224.000000,6.376500,-0.161652,0.000000,10.016604,2.339933,0.901782
110.000000,226.000000,6.376500,-0.126396,0.000000,9.700156,2.704113,0.905040
110.000000,228.000000,6.376500,-0.099667,0.000000,9.379017,3.062789,0.906089
110.000000,230.000000,6.376500,-0.093314,0.000000,9.053555,3.413936,0.903628
110.000000,232.000000,6.376500,-0.119203,0.000000,8.724183,3.755094,0.895582
110.000000,234.000000,6.376500,-0.180160,0.000000,8.577553,3.989598,0.922138
110.000000,236.000000,6.376500,-0.261964,0.000000,8.775875,3.689566,0.892979
110.000000,238.000000,6.376500,-0.337799,0.000000,8.995633,3.387350,0.876213
110.000000,240.000000,6.376500,-0.384560,0.000000,9.233372,3.084634,0.867858
110.000000,242.000000,6.376500,-0.394603,0.000000,9.486062,2.782731,0.865265
110.000000,244.000000,6.376500,-0.373829,0.000000,9.751661,2.482646,0.866792
110.000000,246.000000,6.376500,-0.333294,0.000000,10.031849,2.185297,0.872148
110.000000,248.000000,6.376500,-0.283041,0.000000,10.326324,1.891378,0.880650
110.000000,250.000000,6.376500,-0.229987,0.000000,10.634038,1.601564,0.891643
110.000000,252.000000,6.376500,-0.178137,0.000000,10.953857,1.316368,0.904592
110.000000,254.000000,6.376500,-0.129461,0.000000,11.284506,1.036325,0.919072
110.000000,256.000000,6.376500,-0.084708,0.000000,11.624733,0.761852,0.934740
110.000000,258.000000,6.376500,-0.043957,0.000000,11.973170,0.493424,0.951317
110.000000,260.000000,6.376500,-0.006964,0.000000,12.328527,0.231370,0.968576
112.000000,220.000000,6.376500,-0.305004,0.000000,10.641854,1.500732,0.874807
112.000000,222.000000,6.376500,-0.283041,0.000000,10.326315,1.891380,0.880649
112.000000,224.000000,6.376500,-0.254029,0.000000,10.005199,2.280544,0.885922
112.000000,226.000000,6.376500,-0.217822,0.000000,9.678870,2.666793,0.890197
112.000000,228.000000,6.376500,-0.177250,0.000000,9.347702,3.048461,0.892779
112.000000,230.000000,6.376500,-0.141263,0.000000,9.012083,3.423460,0.892498
112.000000,232.000000,6.376500,-0.127089,0.000000,8.672454,3.789272,0.887418
112.000000,234.000000,6.376500,-0.154290,0.000000,8.329189,4.142759,0.874179
112.000000,236.000000,6.376500,-0.225321,0.000000,8.429015,4.190949,0.939130
112.000000,238.000000,6.376500,-0.310978,0.000000,8.643513,3.870325,0.904571
112.000000,240.000000,6.376500,-0.370212,0.000000,8.880535,3.548954,0.885586
112.000000,242.000000,6.376500,-0.383623,0.000000,9.136159,3.228273,0.876575
112.000000,244.000000,6.376500,-0.358128,0.000000,9.408052,2.909417,0.874381
112.000000,246.000000,6.376500,-0.310308,0.000000,9.698044,2.593259,0.877963
112.000000,248.000000,6.376500,-0.254029,0.000000,10.005201,2.280541,0.885922
112.000000,250.000000,6.376500,-0.197520,0.000000,10.328005,1.971945,0.897141
112.000000,252.000000,6.376500,-0.144673,0.000000,10.664870,1.668002,0.910772
112.000000,254.000000,6.376500,-0.096861,0.000000,11.014031,1.369235,0.926161
112.000000,256.000000,6.376500,-0.054207,0.000000,11.373832,1.076115,0.942824
112.000000,258.000000,6.376500,-0.016295,0.000000,11.742511,0.789034,0.960366
112.000000,260.000000,6.376500,0.017474,0.000000,12.118458,0.508388,0.978502
114.000000,220.000000,6.376500,-0.355391,0.000000,10.683552,1.365580,0.859533
114.000000,222.000000,6.376500,-0.347403,0.000000,10.360490,1.775619,0.865919
114.000000,224.000000,6.376500,-0.333294,0.000000,10.031848,2.185299,0.872148
114.000000,226.000000,6.376500,-0.310308,0.000000,9.698032,2.593241,0.877955
114.000000,228.000000,6.376500,-0.275584,0.000000,9.359535,2.997855,0.882909
114.000000,230.000000,6.376500,-0.228534,0.000000,9.016819,3.397134,0.886202
114.000000,232.000000,6.376500,-0.176990,0.000000,8.670462,3.788591,0.886415
114.000000,234.000000,6.376500,-0.145505,0.000000,8.321096,4.169028,0.880915
114.000000,236.000000,6.376500,-0.168041,0.000000,8.089555,4.534381,0.929937
114.000000,238.000000,6.376500,-0.244822,0.000000,8.294487,4.349814,0.946366
114.000000,240.000000,6.376500,-0.320963,0.000000,8.527700,4.009469,0.908818
114.000000,242.000000,6.376500,-0.347833,0.000000,8.784048,3.669991,0.889540
114.000000,244.000000,6.376500,-0.325182,0.000000,9.060724,3.332492,0.881806
114.000000,246.000000,6.376500,-0.275584,0.000000,9.359539,2.997864,0.882912
114.000000,248.000000,6.376500,-0.217822,0.000000,9.678866,2.666798,0.890197
114.000000,250.000000,6.376500,-0.161652,0.000000,10.016605,2.339941,0.901784
114.000000,252.000000,6.376500,-0.110800,0.000000,10.370506,2.017829,0.916336
114.000000,254.000000,6.376500,-0.066053,0.000000,10.738275,1.700946,0.932889
114.000000,256.000000,6.376500,-0.027012,0.000000,11.117701,1.389744,0.950759
114.000000,258.000000,6.376500,0.007101,0.000000,11.506648,1.084649,0.969443
114.000000,260.000000,6.376500,0.037101,0.000000,11.903092,0.786050,0.988577
116.000000,220.000000,6.376500,-0.375657,0.000000,10.753968,1.197062,0.845163
116.000000,222.000000,6.376500,-0.378967,0.000000,10.425199,1.625116,0.852109
116.000000,224.000000,6.376499,-0.379258,0.000000,10.090884,2.054055,0.859325
116.000000,226.000000,6.376499,-0.373829,0.000000,9.751646,2.482660,0.866791
116.000000,228.000000,6.376500,-0.358129,0.000000,9.408034,2.909406,0.874373
116.000000,230.000000,6.376500,-0.325182,0.000000,9.060725,3.332512,0.881812
116.000000,232.000000,6.376500,-0.267202,0.000000,8.710461,3.749593,0.888482
116.000000,234.000000,6.376500,-0.185945,0.000000,8.358212,4.157681,0.893138
116.000000,236.000000,6.376500,-0.117360,0.000000,8.005172,4.552768,0.893044
116.000000,238.000000,6.376500,-0.126908,0.000000,7.951460,4.822475,1.013472
116.000000,240.000000,6.376500,-0.207737,0.000000,8.176773,4.463143,0.940897
116.000000,242.000000,6.376499,-0.267602,0.000000,8.431019,4.105178,0.904548
116.000000,244.000000,6.376499,-0.267202,0.000000,8.710475,3.749592,0.888488
116.000000,246.000000,6.376500,-0.228534,0.000000,9.016825,3.397134,0.886203
116.000000,248.000000,6.376500,-0.177250,0.000000,9.347692,3.048471,0.892778
116.000000,250.000000,6.376500,-0.126396,0.000000,9.700154,2.704117,0.905040
116.000000,252.000000,6.376500,-0.080561,0.000000,10.071112,2.364619,0.920918
116.000000,254.000000,6.376500,-0.040602,0.000000,10.457597,2.030429,0.939031
116.000000,256.000000,6.376500,-0.006041,0.000000,10.856726,1.701979,0.958435
116.000000,258.000000,6.376500,0.023953,0.000000,11.266033,1.379664,0.978526
116.000000,260.000000,6.376499,0.050210,0.000000,11.683168,1.063848,0.998874
118.000000,220.000000,6.376500,-0.369217,0.000000,10.845757,0.996925,0.830782
118.000000,222.000000,6.376500,-0.378360,0.000000,10.513314,1.441285,0.838224
118.000000,224.000000,6.376499,-0.386987,0.000000,10.175433,1.887789,0.846331
118.000000,226.000000,6.376499,-0.393501,0.000000,9.832796,2.335364,0.855279
118.000000,228.000000,6.376500,-0.394603,0.000000,9.486079,2.782716,0.865266
118.000000,230.000000,6.376500,-0.383623,0.000000,9.136135,3.228289,0.876572
118.000000,232.000000,6.376500,-0.347833,0.000000,8.784030,3.670001,0.889537
118.000000,234.000000,6.376500,-0.267601,0.000000,8.430998,4.105195,0.904545
118.000000,236.000000,6.376500,-0.134449,0.000000,8.078666,4.530224,0.921946
118.000000,238.000000,6.376500,-0.015018,0.000000,7.729191,4.940033,0.941679
118.000000,240.000000,6.376500,-0.033058,0.000000,7.830301,4.905616,0.988386
118.000000,242.000000,6.376499,-0.134450,0.000000,8.078682,4.530218,0.921951
118.000000,244.000000,6.376499,-0.185945,0.000000,8.358220,4.157670,0.893137
118.000000,246.000000,6.376500,-0.176990,0.000000,8.670466,3.788576,0.886412
118.000000,248.000000,6.376500,-0.141263,0.000000,9.012093,3.423454,0.892500
118.000000,250.000000,6.376500,-0.099667,0.000000,9.379015,3.062792,0.906089
118.000000,252.000000,6.376500,-0.060267,0.000000,9.767081,2.707025,0.923996
118.000000,254.000000,6.376500,-0.025277,0.000000,10.172475,2.356594,0.944294
118.000000,256.000000,6.376500,0.005217,0.000000,10.591991,2.011881,0.965833
118.000000,258.000000,6.376500,0.031775,0.000000,11.022226,1.673307,0.987781
118.000000,260.000000,6.376499,0.055071,0.000000,11.460187,1.341239,1.009617
120.000000,220.000000,6.376500,-0.344085,0.000000,10.954775,0.767677,0.816263
120.000000,222.000000,6.376500,-0.354192,0.000000,10.619268,1.226367,0.823817
120.000000,224.000000,6.376500,-0.364784,0.000000,10.278581,1.688388,0.832335
120.000000,226.000000,6.376500,-0.375040,0.000000,9.933473,2.152857,0.842158
120.000000,228.000000,6.376500,-0.383054,0.000000,9.584738,2.618719,0.853759
120.000000,230.000000,6.376500,-0.384560,0.000000,9.233358,3.084629,0.867853
120.000000,232.000000,6.376500,-0.370212,0.000000,8.880537,3.548969,0.885591
120.000000,234.000000,6.376500,-0.320963,0.000000,8.527693,4.009481,0.908819
120.000000,236.000000,6.376500,-0.207736,0.000000,8.176771,4.463146,0.940898
120.000000,238.000000,6.376500,-0.033057,0.000000,7.830295,4.905623,0.988386
120.000000,240.000000,6.376500,0.066794,0.000000,7.491922,5.330390,1.066257
120.000000,242.000000,6.376500,-0.015017,0.000000,7.729195,4.940021,0.941674
120.000000,244.000000,6.376500,-0.117359,0.000000,8.005177,4.552751,0.893038
120.000000,246.000000,6.376500,-0.145505,0.000000,8.321094,4.169024,0.880913
120.000000,248.000000,6.376500,-0.127090,0.000000,8.672447,3.789278,0.887418
120.000000,250.000000,6.376500,-0.093315,0.000000,9.053553,3.413943,0.903629
120.000000,252.000000,6.376500,-0.057948,0.000000,9.458995,3.043400,0.924813
120.000000,254.000000,6.376500,-0.025475,0.000000,9.884465,2.678100,0.948509
120.000000,256.000000,6.376500,0.003161,0.000000,10.325048,2.318448,0.973016
120.000000,258.000000,6.376500,0.028188,0.000000,10.776439,1.964799,0.997334
120.000000,260.000000,6.376500,0.050143,0.000000,11.235139,1.617547,1.020947
122.000000,220.000000,6.376500,-0.308538,0.000000,11.079279,0.512366,0.801956
122.000000,222.000000,6.376500,-0.316696,0.000000,10.741218,0.983297,0.809300
122.000000,224.000000,6.376500,-0.325277,0.000000,10.398250,1.458665,0.817789
122.000000,226.000000,6.376500,-0.333737,0.000000,10.051199,1.937691,0.827857
122.000000,228.000000,6.376500,-0.340866,0.000000,9.700971,2.419557,0.840161
122.000000,230.000000,6.376500,-0.344057,0.000000,9.348679,2.903194,0.855720
122.000000,232.000000,6.376500,-0.337799,0.000000,8.995637,3.387343,0.876212
122.000000,234.000000,6.376500,-0.310978,0.000000,8.643519,3.870332,0.904576
122.000000,236.000000,6.376500,-0.244822,0.000000,8.294487,4.349819,0.946368
122.000000,238.000000,6.376500,-0.126908,0.000000,7.951467,4.822472,1.013475
