phi2_deg,phi3_deg,F_mean,F_skew,liftoff,F_max,F_min,peak_ratio
0.000,0.000,6.376243,1.705483,75.7885,41.123260,0.000000,5.449190
0.000,18.947,6.376413,1.706682,75.8295,41.089802,0.000000,5.443943
0.000,37.895,6.376550,1.710461,75.9445,40.960831,0.000000,5.423717
0.000,56.842,6.376622,1.717237,76.1435,40.628832,0.000000,5.371651
0.000,75.789,6.376655,1.714767,76.1290,39.921880,0.000000,5.260783
0.000,94.737,6.376568,1.703825,75.9230,39.638727,0.000000,5.216377
0.000,113.684,6.376408,1.687592,75.5920,39.224090,0.000000,5.151351
0.000,132.632,6.376308,1.011932,24.2500,21.441655,0.000000,2.362606
0.000,151.579,6.376531,0.784557,31.9200,22.289914,0.000000,2.495635
0.000,170.526,6.376536,0.764595,45.4990,23.554526,0.000000,2.693959
0.000,189.474,6.377318,0.595602,38.1335,23.301513,0.000000,2.654279
0.000,208.421,6.333041,1.671973,74.3490,44.104352,0.000000,5.916702
0.000,227.368,6.376433,1.675286,75.4150,38.931531,0.000000,5.105470
0.000,246.316,6.376512,0.635628,43.6960,21.798445,0.000000,2.418559
0.000,265.263,6.376495,1.703880,75.9360,39.648093,0.000000,5.217846
0.000,284.211,6.376532,1.714785,76.1285,39.926153,0.000000,5.261453
0.000,303.158,6.376214,1.717289,76.1475,40.624658,0.000000,5.370996
0.000,322.105,6.376381,1.710458,75.9500,40.966887,0.000000,5.424667
0.000,341.053,6.376651,1.706657,75.8280,41.090075,0.000000,5.443986
18.947,0.000,6.376176,1.706724,75.8325,41.090046,0.000000,5.443981
18.947,18.947,6.376574,1.706651,75.8250,41.088082,0.000000,5.443673
18.947,37.895,6.376739,1.709141,75.9075,41.001611,0.000000,5.430112
18.947,56.842,6.376251,1.714488,76.0695,40.788523,0.000000,5.396695
18.947,75.789,6.376428,1.718419,76.1950,40.026260,0.000000,5.277152
18.947,94.737,6.376356,1.708727,76.0235,39.770193,0.000000,5.236994
18.947,113.684,6.376523,1.695972,75.7635,39.440585,0.000000,5.185303
18.947,132.632,6.376664,1.011938,21.0500,21.789685,0.000000,2.417186
18.947,151.579,6.376727,0.913611,25.3500,20.540339,0.000000,2.221256
18.947,170.526,6.376738,0.672528,32.2615,21.965646,0.000000,2.444781
18.947,189.474,6.376729,0.719590,44.8420,22.172775,0.000000,2.477264
18.947,208.421,6.382107,0.581166,37.4440,23.438874,0.000000,2.675821
18.947,227.368,6.376131,1.665941,75.2420,38.695741,0.000000,5.068492
18.947,246.316,6.376527,1.682291,75.5435,39.101053,0.000000,5.132056
18.947,265.263,6.376144,0.685196,44.6500,20.320962,0.000000,2.186852
18.947,284.211,6.376646,1.708688,76.0190,39.769165,0.000000,5.236833
18.947,303.158,6.382536,1.979013,71.9445,50.552078,0.000000,6.927872
18.947,322.105,6.376739,1.714418,76.0675,40.798081,0.000000,5.398194
18.947,341.053,6.376465,1.709166,75.9075,41.003888,0.000000,5.430469
37.895,0.000,6.376524,1.710465,75.9465,40.959190,0.000000,5.423460
37.895,18.947,6.376559,1.709157,75.9060,41.012979,0.000000,5.431895
37.895,37.895,6.376421,1.710431,75.9500,40.964803,0.000000,5.424340
37.895,56.842,6.376668,1.714418,76.0660,40.790189,0.000000,5.396956
37.895,75.789,6.376601,1.719604,76.2165,40.082831,0.000000,5.286024
37.895,94.737,6.376677,1.711082,76.0635,39.827413,0.000000,5.245968
37.895,113.684,6.376461,1.700157,75.8575,39.548728,0.000000,5.202263
37.895,132.632,6.376450,0.961363,24.5500,21.309434,0.000000,2.341870
37.895,151.579,6.376208,0.901704,28.0000,20.846489,0.000000,2.269268
37.895,170.526,6.376247,0.735889,24.4000,19.200400,0.000000,2.011119
37.895,189.474,6.376432,0.373292,27.6490,17.845460,0.000000,1.798629
37.895,208.421,6.376255,0.450225,24.8250,18.623865,0.000000,1.920703
37.895,227.368,6.376253,0.639423,22.5750,19.367103,0.000000,2.037262
37.895,246.316,6.376000,0.664177,35.8050,24.373674,0.000000,2.822422
37.895,265.263,6.371003,0.937020,35.4195,25.325827,0.000000,2.971744
37.895,284.211,6.376609,1.700181,75.8675,39.549719,0.000000,5.202418
37.895,303.158,6.376629,1.711102,76.0650,39.825212,0.000000,5.245623
37.895,322.105,6.376236,1.719653,76.2165,40.067908,0.000000,5.283683
37.895,341.053,6.376538,1.714456,76.0645,40.792782,0.000000,5.397362
56.842,0.000,6.376417,1.717303,76.1445,40.629023,0.000000,5.371681
56.842,18.947,6.376391,1.714485,76.0670,40.793685,0.000000,5.397504
56.842,37.895,6.376353,1.714459,76.0695,40.791980,0.000000,5.397237
56.842,56.842,6.376537,1.717244,76.1460,40.626024,0.000000,5.371211
