i2,i3,klasse,periode,t_conv_s,lam_block_min,lam_block_max,R_10s_min,R_10s_max,lam_10s_min,lam_10s_max,A_10s_min,A_10s_max,R_orbitfenster,n_cyc_orbitfenster,lam_orbitfenster,A_orbitfenster,sek
0,10,"aperiodisch, Fensterstatistik variabel",-1,-1,37.589499999999994,39.4935,-655.4468174947408,647.8353548267205,37.9355,38.999,2.6431730273274274,2.6562787741120077,nan,-1,nan,nan,7.2
0,13,"aperiodisch, statistisch stationaer",-1,-1,43.542,43.782,-23.171732636278144,17.21802148534914,43.6065,43.782,2.401020108719902,2.4206571412984914,nan,-1,nan,nan,7.4
1,11,"aperiodisch, Fensterstatistik variabel",-1,-1,36.94799999999999,38.2165,-1164.8267246015796,677.4151649721518,36.948,38.032,2.6903229571441027,2.7023198306019744,nan,-1,nan,nan,7.0
1,16,"aperiodisch, statistisch stationaer",-1,-1,71.71900000000001,71.9455,-3705.317827350912,2738.0433773056657,71.719,71.9455,6.927524815640551,6.928222152291597,nan,-1,nan,nan,6.8
2,13,periodisch (P6) ab 42.0 s,6,42.0,35.29299999999999,37.9585,-708.3391839270801,883.0699918137171,37.6845,37.9585,2.7222491219972764,2.722311704840164,0.5532701323511129,96,37.778125,2.722310263492988,6.6
6,8,"aperiodisch, Fensterstatistik variabel",-1,-1,35.263,37.8145,-587.643567528451,486.60845010997906,35.4585,36.685,2.8200633968140303,2.8216933142887504,nan,-1,nan,nan,6.5
8,9,"aperiodisch, statistisch stationaer",-1,-1,37.20249999999999,38.1895,-279.0121863343732,299.0325843763142,37.2025,38.189499999999995,2.6983854215238976,2.7027479840872832,nan,-1,nan,nan,7.4
9,8,"aperiodisch, statistisch stationaer",-1,-1,37.1505,38.0325,-715.0679243906463,219.8075355673822,37.672,38.0325,2.6852486689236077,2.700982011242312,nan,-1,nan,nan,7.1
9,9,"aperiodisch, statistisch stationaer",-1,-1,37.872499999999995,38.84399999999999,-1062.7803258291844,1393.0671518971244,37.872499999999995,38.643,2.641362452014327,2.663028773946027,nan,-1,nan,nan,7.7
10,0,"aperiodisch, statistisch stationaer",-1,-1,37.831,39.224000000000004,-1063.431578569694,563.1937157356048,38.1635,38.679,2.626193830719671,2.6630009729505595,nan,-1,nan,nan,7.4
10,18,"aperiodisch, statistisch stationaer",-1,-1,37.323499999999996,37.9605,-732.1557029544326,635.3652778362363,37.323499999999996,37.8965,2.689230006229567,2.7022928647322604,nan,-1,nan,nan,7.1
11,1,"aperiodisch, statistisch stationaer",-1,-1,37.049,37.94950000000001,-1107.3511732255395,1093.666863855779,37.18,37.9495,2.664834529762347,2.7009604071647106,nan,-1,nan,nan,7.7
11,17,"aperiodisch, Fensterstatistik variabel",-1,-1,35.348,38.001000000000005,-180.73659357578,411.6694680245633,35.348,37.8205,2.7284478353577715,2.822418076583856,nan,-1,nan,nan,7.3
13,0,"aperiodisch, statistisch stationaer",-1,-1,43.614,43.76349999999999,-31.495263231341188,30.484664484295276,43.672,43.7635,2.4009598980913416,2.420438837496731,nan,-1,nan,nan,7.7
13,2,periodisch (P6) ab 41.0 s,6,41.0,35.340500000000006,37.976,-709.8937279376734,884.9450566999549,37.685,37.9545,2.7222571789216516,2.7223094294123595,-0.13875710554272858,96,37.77760416666667,2.7222993425737,5.9
14,13,"aperiodisch, statistisch stationaer",-1,-1,75.51899999999999,75.76799999999999,-33.02105758244577,6.500559951097163,75.76,75.768,5.184432128726182,5.185156399805951,nan,-1,nan,nan,6.1
14,14,"aperiodisch, statistisch stationaer",-1,-1,75.849,75.92700000000002,-19.44396439624431,18.684297619841374,75.9225,75.927,5.2166076274079956,5.217159133072605,nan,-1,nan,nan,6.6
15,16,"aperiodisch, statistisch stationaer",-1,-1,70.768,71.21600000000002,-6523.27318466596,5919.289062768983,70.768,71.21600000000001,6.8466120753484985,6.849439818627279,nan,-1,nan,nan,6.4
16,1,"aperiodisch, statistisch stationaer",-1,-1,71.7165,71.94450000000002,-3698.7377121293857,2737.081704407025,71.71650000000001,71.9445,6.927311454678877,6.928062143797063,nan,-1,nan,nan,6.7
16,15,"aperiodisch, statistisch stationaer",-1,-1,70.7685,71.2205,-6586.6342161314205,5904.444461190551,70.7685,71.2205,6.847370224466635,6.848627710611606,nan,-1,nan,nan,6.1
17,11,"aperiodisch, statistisch stationaer",-1,-1,35.311499999999995,36.959,-457.54040600971405,113.57328201905466,35.3115,36.1755,2.815355350679195,2.8225812085256488,nan,-1,nan,nan,6.8
17,16,"aperiodisch, statistisch stationaer",-1,-1,76.06199999999998,76.071,-2.311883419998722,10.862644214837017,76.063,76.07000000000001,5.397002521870749,5.399167100267082,nan,-1,nan,nan,6.6
18,10,"aperiodisch, statistisch stationaer",-1,-1,37.15,38.553999999999995,-914.4558621658592,624.7495976295464,37.15,38.078,2.651767502834623,2.695020675431228,nan,-1,nan,nan,5.9
12,17,periodisch (P30) ab 21.0 s,30,21.0,34.734500000000004,37.4105,-544.4242817183003,618.4932947191622,34.734500000000004,35.386,2.9697362359187838,2.969736235919104,6.963257445760339e-11,90,35.11666666666667,2.9697362359187967,6.8
17,12,periodisch (P30) ab 21.0 s,30,21.0,34.734500000000004,37.4105,-544.4242817181281,618.4932947191753,34.734500000000004,35.386,2.9697362359187855,2.9697362359191066,6.947539031661557e-11,90,35.11666666666667,2.969736235918796,6.7
8,6,"aperiodisch, Fensterstatistik variabel",-1,-1,35.522999999999996,37.790000000000006,-774.829625042993,525.4452089772981,35.618,37.5985,2.8171660586805554,2.821207384698446,nan,-1,nan,nan,6.6
